MapDesc,Fwy,SGR,Arterial,CommDesign
Project title page map,1,1,1,1
Job accessibility from project vicinity,2,0,0,0
Edu accessibility from project vicinity,3,0,0,0
Bikeways,0,2,2,0
Transit service heatmap,0,0,3,0
STAA,0,0,4,0
Collision heat map,0,0,5,0
,,,,
,,,,
,,,,
,,,,
,,,,
Report,Tab,RowNum,ColNum,
PPA_Template_ArterialExp.xlsx,TitlePg,6,A,
PPA_Template_ArterialExp.xlsx,Multimodal,17,A,
PPA_Template_ArterialExp.xlsx,Multimodal,56,A,
PPA_Template_ArterialExp.xlsx,Freight,9,A,
PPA_Template_ArterialExp.xlsx,Safety,9,A,
