,tripshed_2016,tripshed_2040,REGION_2016,REGION_2040
WALKDESTSalljob,5583.305278175942,,3842.410877719361,
BIKEDESTSalljob,52496.441510376666,,37354.0237093426,
AUTODESTSalljob,568796.9708900871,,475047.2456961141,
TRANDESTSalljob,32109.127056635272,,22213.193547074632,
WALKDESTSedu,5.680101826030171,,4.638241418756691,
BIKEDESTSedu,49.69139715334792,,38.1860827979409,
AUTODESTSedu,592.2606659609247,,492.5529013364859,
TRANDESTSedu,26.253983567371318,,19.460658420459307,
WALKDESTSpoi2,21.572459698783057,,17.147198276435414,
BIKEDESTSpoi2,185.26112055865187,,140.10012353515302,
AUTODESTSpoi2,707.5590512939515,,520.3276979954376,
TRANDESTSpoi2,105.60132800980783,,77.93892290099564,
total_net_pcl_acres,36054.76660076458,,,
net_Agriculture_acres,3427.4832028901037,,,
pct_Agriculture_inbuff,0.09506324755455274,,,
EMPTOT_NetPclAcre,1.8841594351700504,,,
DU_TOT_NetPclAcre,1.231690137590262,,,
job_du_perNetAcre,3.1158495727603124,,0.38506745756398186,
Pop_NonEJArea,364698.0,,,
Pop_EJArea,391077.0,,,
Pct_PopEJArea,0.5174516225066984,,0.3746385676273582,
WALKDESTSalljob_EJ,6308.2184296644045,,,
BIKEDESTSalljob_EJ,64766.21818842494,,,
AUTODESTSalljob_EJ,652507.5989813884,,,
TRANDESTSalljob_EJ,39528.995940846704,,,
WALKDESTSlowjobs_EJ,1430.468974721614,,,
BIKEDESTSlowjobs_EJ,13831.546360470466,,,
AUTODESTSlowjobs_EJ,141130.91152839668,,,
TRANDESTSlowjob_EJ,8111.058023267702,,,
WALKDESTSedu_EJ,6.70848546940097,,,
BIKEDESTSedu_EJ,60.95818084227208,,,
AUTODESTSedu_EJ,654.2337379337667,,,
TRANDESTSedu_EJ,33.390750555920015,,,
WALKDESTSpoi2_EJ,25.215658648070683,,,
BIKEDESTSpoi2_EJ,230.71464374259838,,,
AUTODESTSpoi2_EJ,838.3186188476055,,,
TRANDESTSpoi2_EJ,134.84340832218652,,,
POP_TOT,755775.0,1012970.0,,
DU_TOT,291478.0,400151.9222351284,,
EMPTOT,445884.0799999907,571193.6799999955,,
ENR_K12,105878.0,157839.0,,
EMPIND,55909.64999999943,75437.40000000021,,
PT_TOT_RES,2649330.0,3534435.0,,
SOV_TOT_RES,1051257.0,1392310.0,,
HOV_TOT_RES,1208059.0,1531091.0,,
TRN_TOT_RES,42135.0,104477.0,,
BIK_TOT_RES,81853.0,116991.0,,
WLK_TOT_RES,231862.0,353831.0,,
EMPIND_jobshare,0.1253905499384517,0.13206973858674487,0.13021497769289114,
SOV_TOT_RES_share,0.39680107800840214,0.393927176479409,,
HOV_TOT_RES_share,0.45598660793483636,0.4331925753338228,,
TRN_TOT_RES_share,0.015904021016634396,0.02955974575851586,,
BIK_TOT_RES_share,0.030895735903039637,0.03310033994117872,,
WLK_TOT_RES_share,0.08751722133520551,0.10010963562775946,,
SUM_JOB_DU,737362.0799999908,971345.602235124,,
mix_index,0.678049624298906,0.7310048597196216,0.9999891200962348,0.9308534957530498
High Density,29344.0,53033.826756449984,,
Low Density,124185.0,149281.50174536914,,
Med-High Density,64613.0,84013.33114531008,,
Medium Density,49275.0,64581.810616040304,,
Mixed Use,2033.0,25633.854869130013,,
Very Low or Rural Res Density,22028.0,23607.59710224147,,
nat_resource_acres,8976.188428455414,8740.51059976573,,
