,tripshed_2016,tripshed_2040,REGION_2016,REGION_2040
WALKDESTSalljob,2167.7703152893964,,3842.410877719361,
BIKEDESTSalljob,12410.928719219817,,37354.0237093426,
AUTODESTSalljob,432242.5288912987,,475047.2456961141,
TRANDESTSalljob,10730.904726390178,,22213.193547074632,
WALKDESTSedu,3.1839039623875633,,4.638241418756691,
BIKEDESTSedu,18.81033963321973,,38.1860827979409,
AUTODESTSedu,414.5855361296763,,492.5529013364859,
TRANDESTSedu,14.585563719342765,,19.460658420459307,
WALKDESTSpoi2,12.170564334085778,,17.147198276435414,
BIKEDESTSpoi2,70.67576019120966,,140.10012353515302,
AUTODESTSpoi2,353.33053010519484,,520.3276979954376,
TRANDESTSpoi2,56.536156184068815,,77.93892290099564,
total_net_pcl_acres,28792.53992853339,,,
net_Agriculture_acres,11737.523347883873,,,
pct_Agriculture_inbuff,0.4076584899080749,,,
EMPTOT_NetPclAcre,0.524864632266805,,,
DU_TOT_NetPclAcre,0.24403752523493202,,,
job_du_perNetAcre,0.7689021575017371,,0.38506745756398186,
Pop_NonEJArea,93095.0,,,
Pop_EJArea,54385.0,,,
Pct_PopEJArea,0.36876186601573097,,0.3746385676273582,
WALKDESTSalljob_EJ,2558.3241786726703,,,
BIKEDESTSalljob_EJ,16376.838303566221,,,
AUTODESTSalljob_EJ,478751.1270542808,,,
TRANDESTSalljob_EJ,13381.487559057876,,,
WALKDESTSlowjobs_EJ,709.0560888230422,,,
BIKEDESTSlowjobs_EJ,4459.897698346963,,,
AUTODESTSlowjobs_EJ,99916.78708647823,,,
TRANDESTSlowjob_EJ,3501.068414390873,,,
WALKDESTSedu_EJ,4.719898507950211,,,
BIKEDESTSedu_EJ,27.007561974312015,,,
AUTODESTSedu_EJ,443.5604095845825,,,
TRANDESTSedu_EJ,21.37338061851822,,,
WALKDESTSpoi2_EJ,17.099686074590824,,,
BIKEDESTSpoi2_EJ,100.15405478237538,,,
AUTODESTSpoi2_EJ,456.15842092369434,,,
TRANDESTSpoi2_EJ,79.54116797517528,,,
POP_TOT,147480.0,245311.0,,
DU_TOT,47825.0,86512.80124555904,,
EMPTOT,102859.79999999955,138453.32000000018,,
ENR_K12,25687.0,45557.0,,
EMPIND,20996.8,22853.09999999999,,
PT_TOT_RES,526358.0,869066.0,,
SOV_TOT_RES,220185.0,368721.0,,
HOV_TOT_RES,258719.0,408994.0,,
TRN_TOT_RES,3514.0,12430.0,,
BIK_TOT_RES,8677.0,17573.0,,
WLK_TOT_RES,28446.0,52368.0,,
EMPIND_jobshare,0.2041302821899332,0.1650599638925232,0.13021497769289114,
SOV_TOT_RES_share,0.4183179509003378,0.42427272497140606,,
HOV_TOT_RES_share,0.4915266795602993,0.47061327908352185,,
TRN_TOT_RES_share,0.006676064579620714,0.014302711186492165,,
BIK_TOT_RES_share,0.016484977904772036,0.020220558622705297,,
WLK_TOT_RES_share,0.05404306574612716,0.06025779399953513,,
SUM_JOB_DU,150684.79999999955,224966.12124555922,,
mix_index,0.6715009234358776,0.8235336649948327,0.9999891200962348,0.9308534957530498
High Density,1245.0,9659.53555165,,
Low Density,27067.0,38533.985198297356,,
Med-High Density,4902.0,11194.451034090003,,
Medium Density,7130.0,15952.731425269998,,
Mixed Use,100.0,3217.22702026,,
Very Low or Rural Res Density,7381.0,7954.871015990102,,
nat_resource_acres,11751.640690713994,11642.332308420428,,
