,tripshed_2016,tripshed_2040,REGION_2016,REGION_2040
WALKDESTSalljob,4959.578807354681,,3842.410877719361,
BIKEDESTSalljob,47150.22043022157,,37354.0237093426,
AUTODESTSalljob,546922.5164122763,,475047.2456961141,
TRANDESTSalljob,28735.895729342792,,22213.193547074632,
WALKDESTSedu,5.344060762895829,,4.638241418756691,
BIKEDESTSedu,46.11043148044844,,38.1860827979409,
AUTODESTSedu,566.3968297989021,,492.5529013364859,
TRANDESTSedu,24.397123030937717,,19.460658420459307,
WALKDESTSpoi2,20.035058998106173,,17.147198276435414,
BIKEDESTSpoi2,170.39397717339392,,140.10012353515302,
AUTODESTSpoi2,656.667683735217,,520.3276979954376,
TRANDESTSpoi2,97.25527492716209,,77.93892290099564,
total_net_pcl_acres,73158.86141475933,,,
net_Agriculture_acres,11034.233684416438,,,
pct_Agriculture_inbuff,0.15082566173166756,,,
EMPTOT_NetPclAcre,1.1109309957871434,,,
DU_TOT_NetPclAcre,0.8518972829360856,,,
job_du_perNetAcre,1.962828278723229,,0.38506745756398186,
Pop_NonEJArea,557961.0,,,
Pop_EJArea,503652.0,,,
Pct_PopEJArea,0.4744214699706955,,0.3746385676273582,
WALKDESTSalljob_EJ,5977.323245185398,,,
BIKEDESTSalljob_EJ,59549.13265571186,,,
AUTODESTSalljob_EJ,637746.0826566756,,,
TRANDESTSalljob_EJ,36521.58052384452,,,
WALKDESTSlowjobs_EJ,1363.3915170750768,,,
BIKEDESTSlowjobs_EJ,12824.892284588628,,,
AUTODESTSlowjobs_EJ,137543.60078080115,,,
TRANDESTSlowjob_EJ,7596.006298905494,,,
WALKDESTSedu_EJ,6.5199715142867465,,,
BIKEDESTSedu_EJ,57.544962125189116,,,
AUTODESTSedu_EJ,635.9444167657786,,,
TRANDESTSedu_EJ,32.06219150661023,,,
WALKDESTSpoi2_EJ,24.52411879316962,,,
BIKEDESTSpoi2_EJ,216.710633587668,,,
AUTODESTSpoi2_EJ,793.5317482310459,,,
TRANDESTSpoi2_EJ,128.41385846301074,,,
POP_TOT,1061613.0,1359260.0,,
DU_TOT,407764.0,534065.1143946887,,
EMPTOT,531751.5099999859,674055.5199999822,,
ENR_K12,150618.0,216033.0,,
EMPIND,71163.27999999985,93141.84000000088,,
PT_TOT_RES,3731564.0,4750074.0,,
SOV_TOT_RES,1512738.0,1903762.0,,
HOV_TOT_RES,1697532.0,2062825.0,,
TRN_TOT_RES,54027.0,130348.0,,
BIK_TOT_RES,107948.0,149045.0,,
WLK_TOT_RES,312052.0,456597.0,,
EMPIND_jobshare,0.13382807319155848,0.13818125842215986,0.13021497769289114,
SOV_TOT_RES_share,0.40538980438229116,0.40078575617979845,,
HOV_TOT_RES_share,0.45491166706506975,0.4342721818649562,,
TRN_TOT_RES_share,0.014478379574891386,0.02744125670463239,,
BIK_TOT_RES_share,0.028928352830073396,0.03137740590988688,,
WLK_TOT_RES_share,0.08362498941462615,0.09612418669688093,,
SUM_JOB_DU,939515.5099999859,1208120.6343946708,,
mix_index,0.7777603763646616,0.8072701582319076,0.9999891200962348,0.9308534957530498
High Density,33920.0,61837.46627672998,,
Low Density,176956.0,205838.9990504686,,
Med-High Density,82235.0,103459.1792549501,,
Medium Density,69501.0,87480.98127919031,,
Mixed Use,2339.0,30097.69912202003,,
Very Low or Rural Res Density,42813.0,45350.78940983932,,
nat_resource_acres,20301.818250095563,20032.091971632566,,
