,tripshed_2016,tripshed_2040,REGION_2016,REGION_2040
WALKDESTSalljob,1251.0048718348266,,3842.410877719361,
BIKEDESTSalljob,8895.447094273472,,37354.0237093426,
AUTODESTSalljob,321318.0144664978,,475047.2456961141,
TRANDESTSalljob,4725.307210264901,,22213.193547074632,
WALKDESTSedu,1.7753823529411765,,4.638241418756691,
BIKEDESTSedu,12.739252532138682,,38.1860827979409,
AUTODESTSedu,345.969609563693,,492.5529013364859,
TRANDESTSedu,5.647189326061549,,19.460658420459307,
WALKDESTSpoi2,6.2112855473315145,,17.147198276435414,
BIKEDESTSpoi2,50.802783696922475,,140.10012353515302,
AUTODESTSpoi2,237.63921893260616,,520.3276979954376,
TRANDESTSpoi2,23.246255453837165,,77.93892290099564,
total_net_pcl_acres,23306.104812484387,,,
net_Agriculture_acres,10678.438872509525,,,
pct_Agriculture_inbuff,0.45818204965719544,,,
EMPTOT_NetPclAcre,0.28857658686986176,,,
DU_TOT_NetPclAcre,0.1255334099342416,,,
job_du_perNetAcre,0.4141099968041034,,0.38506745756398186,
Pop_NonEJArea,48971.0,,,
Pop_EJArea,7840.0,,,
Pct_PopEJArea,0.13800144338244355,,0.3746385676273582,
WALKDESTSalljob_EJ,1851.4621591363457,,,
BIKEDESTSalljob_EJ,8183.113602558977,,,
AUTODESTSalljob_EJ,499625.62223110755,,,
TRANDESTSalljob_EJ,6530.220483806477,,,
WALKDESTSlowjobs_EJ,672.6648810475809,,,
BIKEDESTSlowjobs_EJ,2832.8941613354655,,,
AUTODESTSlowjobs_EJ,103347.0075679728,,,
TRANDESTSlowjob_EJ,2256.771280487805,,,
WALKDESTSedu_EJ,4.345021991203519,,,
BIKEDESTSedu_EJ,18.461089564174333,,,
AUTODESTSedu_EJ,454.2729958016793,,,
TRANDESTSedu_EJ,13.721194522191125,,,
WALKDESTSpoi2_EJ,14.931785285885644,,,
BIKEDESTSpoi2_EJ,70.14865653738505,,,
AUTODESTSpoi2_EJ,419.1517393042783,,,
TRANDESTSpoi2_EJ,54.18829968012795,,,
POP_TOT,56811.0,138307.0,,
DU_TOT,20001.0,50920.69800046986,,
EMPTOT,45978.35999999974,62444.98000000043,,
ENR_K12,13771.0,30006.0,,
EMPIND,15433.380000000043,15823.640000000041,,
PT_TOT_RES,207887.0,496745.0,,
SOV_TOT_RES,92640.0,220891.0,,
HOV_TOT_RES,99101.0,230425.0,,
TRN_TOT_RES,567.0,5228.0,,
BIK_TOT_RES,3429.0,9743.0,,
WLK_TOT_RES,9493.0,25495.0,,
EMPIND_jobshare,0.3356661699112393,0.25340131424495504,0.13021497769289114,
SOV_TOT_RES_share,0.44562671066492854,0.44467684626921256,,
HOV_TOT_RES_share,0.47670609513822415,0.4638697923481867,,
TRN_TOT_RES_share,0.002727443274471227,0.010524514589980775,,
BIK_TOT_RES_share,0.01649453789799266,0.01961368508993548,,
WLK_TOT_RES_share,0.04566423104859852,0.05132412002133892,,
SUM_JOB_DU,65979.35999999974,113365.6780004703,,
mix_index,0.5964542607243842,0.8228735040464206,0.9999891200962348,0.9308534957530498
High Density,4.0,4107.717278519999,,
Low Density,9395.0,18570.680351860537,,
Med-High Density,2672.0,8215.58558801,,
Medium Density,1945.0,9570.912152939996,,
Mixed Use,0.0,2979.6628653399985,,
Very Low or Rural Res Density,5985.0,7476.139763800196,,
nat_resource_acres,10679.380123727531,10678.939436684881,,
