,tripshed_2016,tripshed_2040,REGION_2016,REGION_2040
WALKDESTSalljob,5226.665460749315,,3842.410877719361,
BIKEDESTSalljob,41253.402234426314,,37354.0237093426,
AUTODESTSalljob,515128.28235737275,,475047.2456961141,
TRANDESTSalljob,27411.316074854447,,22213.193547074632,
WALKDESTSedu,4.612698881945498,,4.638241418756691,
BIKEDESTSedu,35.68900895015496,,38.1860827979409,
AUTODESTSedu,535.0947333870034,,492.5529013364859,
TRANDESTSedu,19.785281207314096,,19.460658420459307,
WALKDESTSpoi2,18.13046618231569,,17.147198276435414,
BIKEDESTSpoi2,134.77893969588388,,140.10012353515302,
AUTODESTSpoi2,538.3197651271696,,520.3276979954376,
TRANDESTSpoi2,80.92093752268333,,77.93892290099564,
total_net_pcl_acres,79100.86121352609,,,
net_Agriculture_acres,27858.495004900335,,,
pct_Agriculture_inbuff,0.3521895283756606,,,
EMPTOT_NetPclAcre,1.1036451633662179,,,
DU_TOT_NetPclAcre,0.4565268944339065,,,
job_du_perNetAcre,1.5601720578001244,,0.38506745756398186,
Pop_NonEJArea,340904.0,,,
Pop_EJArea,282071.0,,,
Pct_PopEJArea,0.45278060917372287,,0.3746385676273582,
WALKDESTSalljob_EJ,7149.3492856009625,,,
BIKEDESTSalljob_EJ,61646.28282957629,,,
AUTODESTSalljob_EJ,629242.2088752255,,,
TRANDESTSalljob_EJ,40544.4489675943,,,
WALKDESTSlowjobs_EJ,1479.2112326052293,,,
BIKEDESTSlowjobs_EJ,11988.5752847566,,,
AUTODESTSlowjobs_EJ,136000.0342390132,,,
TRANDESTSlowjob_EJ,7540.700329946031,,,
WALKDESTSedu_EJ,6.120645317428519,,,
BIKEDESTSedu_EJ,49.45253327023036,,,
AUTODESTSedu_EJ,629.9740383834527,,,
TRANDESTSedu_EJ,28.455706076438844,,,
WALKDESTSpoi2_EJ,23.791799913412696,,,
BIKEDESTSpoi2_EJ,189.83762624402024,,,
AUTODESTSpoi2_EJ,704.7821979729966,,,
TRANDESTSpoi2_EJ,116.32855958524142,,,
POP_TOT,622975.0,994124.0,,
DU_TOT,238506.0,400536.8561563658,,
EMPTOT,576583.7599999963,752275.2999999985,,
ENR_K12,71756.0,137194.0,,
EMPIND,81780.4600000002,101734.80000000064,,
PT_TOT_RES,2188380.0,3478092.0,,
SOV_TOT_RES,883928.0,1373343.0,,
HOV_TOT_RES,966798.0,1446547.0,,
TRN_TOT_RES,40179.0,119013.0,,
BIK_TOT_RES,70301.0,124785.0,,
WLK_TOT_RES,200716.0,382148.0,,
EMPIND_jobshare,0.14183621821051762,0.1352361296456242,0.13021497769289114,
SOV_TOT_RES_share,0.40391888063316245,0.39485528272397624,,
HOV_TOT_RES_share,0.44178707537082224,0.4159024545641691,,
TRN_TOT_RES_share,0.01836015682833877,0.03421789877898572,,
BIK_TOT_RES_share,0.03212467670148694,0.035877429349194905,,
WLK_TOT_RES_share,0.09171898847549328,0.10987288432853415,,
SUM_JOB_DU,815089.7599999963,1152812.1561563644,,
mix_index,0.588579284680196,0.7171036720919002,0.9999891200962348,0.9308534957530498
High Density,29896.0,70648.14964667005,,
Low Density,89381.0,121343.15628377341,,
Med-High Density,56397.0,82847.87823786007,,
Medium Density,40140.0,61706.32069145027,,
Mixed Use,2717.0,42314.870930440025,,
Very Low or Rural Res Density,19975.0,21676.48036584055,,
nat_resource_acres,28571.040361888372,28121.61081406917,,
